day_idx,model_name,MAE,RMSE,nRMSE
1,ARIMA,0.24816844376280858,0.36667182040038077,0.0864792029246181
1,XGBoost,0.2712825546165307,0.37038461039007237,0.0873548609410548
1,Naive,0.3179166666666666,0.5818397545716517,0.13722635721029522
1,SeasonalNaive,0.25458333333333333,0.4310404080052512,0.10166047358614413
2,ARIMA,0.2356129486023998,0.3065346884095653,0.07229591707772767
2,XGBoost,0.20210354884465534,0.28381149400370337,0.06693667311408098
2,Naive,0.31875000000000003,0.48512455445311503,0.11441616850309316
2,SeasonalNaive,0.17875,0.2580293910907567,0.0608559884648011
3,ARIMA,0.165040405758739,0.1696013221755882,0.04000031183386514
3,XGBoost,0.2046363900601864,0.2736574581022875,0.0645418533260112
3,Naive,0.2058333333333333,0.3512359131220307,0.08283865875519592
3,SeasonalNaive,0.20958333333333334,0.2861016719047036,0.06747680941148669
4,ARIMA,0.1276093163550143,0.13185084794218038,0.031096898099570842
4,XGBoost,0.12990654821197192,0.1590872015326512,0.03752056639921019
4,Naive,0.02791666666666667,0.0348209706929603,0.008212493087962335
4,SeasonalNaive,0.48374999999999996,0.7389886106474624,0.17428976666213733
5,ARIMA,0.08590964412910107,0.08920508198374877,0.021038934430129424
5,XGBoost,0.15545408164461455,0.18183095921636058,0.04288466019253787
5,Naive,0.028749999999999998,0.035296364307578945,0.008324614223485599
5,SeasonalNaive,0.11041666666666668,0.1580743495953724,0.03728168622532368
6,ARIMA,0.04523399748364928,0.05242677465909716,0.012364805344126688
6,XGBoost,0.21141892999410627,0.25013498260119293,0.05899409967009267
6,Naive,0.030833333333333338,0.03872983346207417,0.009134394684451454
6,SeasonalNaive,0.14291666666666666,0.20815659169641174,0.049093535777455594
7,ARIMA,0.35687908791507733,0.5631934932552055,0.13282865406962394
7,XGBoost,0.31349252680937445,0.44990595573407866,0.10610989522030156
7,Naive,0.36166666666666664,0.5731928122368597,0.1351869840181273
7,SeasonalNaive,0.3508333333333333,0.5570158585414483,0.13137166475034157
