model_name,MAE_mean,MAE_std,MAE_median,RMSE_mean,RMSE_std,RMSE_median,nRMSE_mean,nRMSE_std,nRMSE_median
ARIMA,0.18063626342954134,0.10724314927281307,0.165040405758739,0.2399262898322523,0.18234657751566238,0.1696013221755882,0.05658638911138027,0.04300626828199584,0.04000031183386514
XGBoost,0.21261351145449137,0.06311602458194854,0.2046363900601864,0.2812589516543352,0.10184142646330234,0.2736574581022875,0.06633465840904133,0.02401920435455244,0.0645418533260112
Naive,0.18452380952380953,0.15278309875293883,0.2058333333333333,0.3000343146923244,0.2580743443864849,0.3512359131220307,0.07076281006894443,0.060866590657189835,0.08283865875519592
SeasonalNaive,0.24726190476190474,0.13066201122456622,0.20958333333333334,0.3767724116402009,0.21024371391889302,0.2861016719047036,0.08886141783967001,0.049585781584644564,0.06747680941148669
