iteration,Training RMSE,Validation RMSE
0,0.34271517627827525,0.19997550372594203
1,0.3362708117706577,0.19301240530611843
2,0.33053535588659916,0.19358392985253997
3,0.32541879861019185,0.19262566187556338
4,0.32002688179511773,0.18852963329038758
5,0.31482690270670083,0.189801459443422
6,0.3111776373323081,0.1909588410675829
7,0.30688035312566014,0.19264573634315527
8,0.30376693080678996,0.19214771695936944
9,0.29898352774893944,0.19211667854722092
10,0.29578168851138403,0.1959616282360153
11,0.2927037275341944,0.19514151035644337
12,0.28886948913881355,0.1968152019908734
13,0.28591162352540345,0.19887750306420118
14,0.28321869049894843,0.19909376199053855
15,0.28020984700035656,0.19704062383201182
16,0.277617412610529,0.20146111089484434
17,0.27516573886891516,0.2026526099539833
18,0.2726207349691856,0.20384976638510838
19,0.27090423675912867,0.20404454800164706
20,0.26818056589711414,0.20224554140199816
21,0.265663806876608,0.201357828816281
22,0.2640993431501883,0.1996059368140296
23,0.26226997967962173,0.1984274510366934
24,0.2606525858658125,0.1989541960407731
25,0.25878629049182444,0.19652795957398106
26,0.25744864935038525,0.1990013191905202
27,0.25572477693851264,0.19781900750100528
28,0.2533834380616753,0.1957998127010291
29,0.2521525676132159,0.1967968390371277
30,0.2499877729214329,0.20020893529995565
31,0.24836972305793578,0.19919565140655449
32,0.24730851687088623,0.1943872842947859
33,0.24570437479224674,0.1950243674133458
34,0.24488713795224865,0.19676764455179357
35,0.24334938095467895,0.1971446520168234
36,0.2420528683340174,0.19762523105489316
37,0.23961988422987768,0.19946641050234507
38,0.2383574174445542,0.19695035670327943
39,0.2367480747726451,0.1971081022083281
40,0.2357049257812479,0.19709280466055987
41,0.23406035795357585,0.1969327399161677
42,0.23258526097597085,0.1971193255897752
43,0.23079650360563048,0.19821931607093168
44,0.22955784645614882,0.19793557760787123
45,0.22736087981066821,0.20076999281447377
46,0.22556229518005827,0.2034988607199239
47,0.2241288199697374,0.20418211425989738
48,0.2229304391378608,0.2024930765628461
49,0.220613091475677,0.20311942219271728
50,0.21949909101157303,0.2032781733394507
51,0.21862123769396408,0.20140828615507042
52,0.21781166462150692,0.20129709719718297
53,0.21659652184474806,0.20195563665404198
54,0.21581958152309683,0.2009601928113865
55,0.21456203631992649,0.19985908849566814
56,0.21305750925854505,0.19793696772236086
57,0.2123969815279855,0.19779089049885817
58,0.211065781956178,0.19650523622362204
59,0.21043806916581342,0.1975635406126661
60,0.2097772846066024,0.19743457888746047
61,0.20874954309971278,0.19912510871197905
62,0.2075453090635041,0.20462121210277773
63,0.2068384850802284,0.2050715684315697
64,0.20542261574397006,0.20694621675411487
65,0.20517111272359753,0.20564218594348713
66,0.20418098230421264,0.2053394506597401
67,0.20369563156609544,0.2068814355712737
68,0.2032061598049764,0.20888569531521436
69,0.20229302840680244,0.20978908709427094
70,0.20087306819775966,0.21060182050797255
71,0.20010698870967553,0.21032171385893222
72,0.1993430543349035,0.2102238826147035
73,0.19834979218604504,0.2122340992980588
74,0.19697012092407465,0.21155110617673126
75,0.19543307498089454,0.21018549204851084
76,0.19465244060002343,0.21025459943206218
77,0.1941193152956217,0.20987411070068643
78,0.19359312500833334,0.21611691567177835
79,0.19277913308828865,0.21508606179051382
80,0.19131689046487985,0.21486457647150417
81,0.19066446778302606,0.21428123022153364
82,0.18997118451777525,0.2148151495158854
83,0.18890366722254295,0.21598265883822845
84,0.18774531498314329,0.2161387522670815
85,0.18681437273817328,0.21578755414077974
86,0.1856120793434847,0.21499887548805455
87,0.18427621697520558,0.21380181083475372
88,0.18346476452150787,0.21374272375770167
89,0.18312757724369946,0.21400839675722172
90,0.182137207276283,0.2137676416470371
91,0.1815606540103386,0.21274950719290364
92,0.18026380967470582,0.21298481778879907
93,0.1794152966971584,0.21306022914788258
94,0.17881508362281098,0.21219015121739757
95,0.17839254531942436,0.21234446071966562
96,0.1773926967973106,0.21296033978309073
97,0.1770414346073393,0.21271370214482865
98,0.17661716023999863,0.21197758804293845
99,0.17557556855284573,0.2121586244191429
100,0.17430311596431594,0.2115277911815958
101,0.17397466484170282,0.21096906607196703
102,0.1732196627664495,0.21138075141082205
103,0.17259916665090427,0.21120673028117148
104,0.17193765097581362,0.2094442025242794
105,0.17100064844353888,0.21032511106115498
106,0.17037994181578278,0.20953095969505303
107,0.1694859855811285,0.20901064975110908
108,0.16917412422269476,0.20879126935185868
109,0.16812525093058808,0.207980718150692
110,0.16741551380158032,0.2054656412798035
111,0.1667458472864722,0.2091737337437379
112,0.16630828631810002,0.20834145218922717
113,0.16514897816924062,0.2077488014703835
114,0.16362945913847618,0.2072743237607379
115,0.16315663020943713,0.2072160461932974
116,0.16256281932371802,0.20581885404873837
117,0.16234254564345083,0.20591312135704032
118,0.1614361281590007,0.20655699764441418
119,0.16061755581167236,0.2065248005859408
120,0.15973887586365546,0.20658704758973126
121,0.1590155262564411,0.20876718091420654
122,0.15807127178040867,0.20880949251045328
123,0.15750934253224255,0.20837462551803365
124,0.1568588639395837,0.20832887374640682
125,0.15607766986268554,0.2086007775842525
126,0.15557535652433374,0.20831180846802944
127,0.15478890718039387,0.20782870089501976
128,0.15458433543638356,0.20758687970572365
129,0.15385660696339173,0.20920342189199886
130,0.153553159550217,0.21161091326314796
131,0.15228419718179373,0.21270171147198813
132,0.15149704041171771,0.2121167956629136
133,0.1510716678649564,0.21476304641662577
134,0.15058706529797833,0.21455079141632322
135,0.14965915389521747,0.2150358054988023
136,0.14843287830143911,0.21545288191893808
137,0.14788881768002804,0.21523877929812324
138,0.14723098401048662,0.21513048168830556
139,0.1467261827349262,0.21690106895640152
140,0.1457135767041075,0.21736258211969395
141,0.1447600057569271,0.2189964205326354
142,0.14437641091253048,0.2186916504896796
143,0.1436743180078448,0.2187110937385333
144,0.14347198991669458,0.2180366466098322
145,0.14341130128292917,0.21811414968544873
146,0.1431707360079607,0.21893009151783
147,0.14271804074313413,0.21912873284430343
148,0.14254042607820216,0.2194782411717707
149,0.14189181147243016,0.21953177045611488
150,0.14141338924114205,0.2193541340049557
151,0.14053296531108228,0.2179664360832215
152,0.14035533395028973,0.21776523479183704
153,0.1395062141939178,0.22083722147531445
154,0.13900513938672374,0.22080200907081257
155,0.13871864612861903,0.22001364215063415
156,0.13811771625287073,0.2215147098393039
157,0.13752613973444477,0.22114561518694062
158,0.13668099670234685,0.22056255476995132
159,0.13587326260962818,0.22036728881756365
160,0.13487492311189397,0.22055250392699163
161,0.1346765755440259,0.221054550450859
162,0.13403405413403663,0.2201412597323717
163,0.1334701229179696,0.2189477468980988
164,0.13277067886724545,0.22030245018888722
165,0.13185861512898706,0.22031510741342827
166,0.1310129459563124,0.22033327319562918
167,0.13063341622058747,0.22263493977183463
168,0.13013496655895973,0.22340891248594508
169,0.12999977254222525,0.22345183047755912
170,0.12947833461675426,0.2248149618418413
171,0.12896478509550827,0.22487706628906234
172,0.1285729638171541,0.22515305442312408
173,0.12822725316489308,0.22499945298802693
174,0.12809179381964356,0.22537747443178016
175,0.12763892597265322,0.22498125058568946
176,0.1272862295327609,0.224881319461986
177,0.12659123709897363,0.2249032755463571
178,0.12619324553248934,0.22561447637117907
179,0.12551413178138726,0.22822747975102706
180,0.12490355033383568,0.22839105455647768
181,0.12419235721213975,0.22893612306840705
182,0.12367919328986636,0.22817505402188862
183,0.12310971932973828,0.2275937330038559
184,0.1224498405703899,0.22913876770871597
185,0.12200258653892933,0.2290344895383868
186,0.12167864102214365,0.22882068570208947
187,0.12124469431355601,0.22852403338801566
188,0.12066459847691083,0.22798532960967838
189,0.12016117980643047,0.22720990131371235
190,0.11966433987763572,0.22667849445890942
191,0.11919307275813314,0.2267832259762115
192,0.11855984568103008,0.2269613938032189
193,0.11839856811742185,0.22723932630014526
194,0.11806244444276247,0.2269705194149592
195,0.11774777192276079,0.2270415138702761
