day_idx,MAE,RMSE,nRMSE,model_name
1,0.21961380863672553,0.2922379111105808,0.24765924670388204,"ARIMA(2,1,2)"
2,0.19886158299200982,0.24711370193176535,0.2686018499258319,"ARIMA(2,1,2)"
3,0.2041628209055426,0.24006859445246553,0.3000857430655819,"ARIMA(2,1,2)"
4,0.39496574969942405,0.6556745339204705,0.302154163096991,"ARIMA(2,1,2)"
5,0.18288420896233384,0.20568374401149417,0.3808958222435077,"ARIMA(2,1,2)"
6,0.19830668872039822,0.22060387493098357,0.2941384999079781,"ARIMA(2,1,2)"
7,0.30460095208735277,0.4737273516788586,0.22666380463103283,"ARIMA(2,1,2)"
1,0.1428306569256763,0.23536558815307393,0.19946236284158808,"SARIMA(1,1,1)(1,1,1,24)"
2,0.16306762418458745,0.23795357916135243,0.2586451947406005,"SARIMA(1,1,1)(1,1,1,24)"
3,0.11005330285371762,0.15619795887145022,0.19524744858931276,"SARIMA(1,1,1)(1,1,1,24)"
4,0.34398891508385293,0.6099380770703985,0.2810774548711514,"SARIMA(1,1,1)(1,1,1,24)"
5,0.2292845243299466,0.2679947121894574,0.4962865040545507,"SARIMA(1,1,1)(1,1,1,24)"
6,0.1806447723587636,0.22024037802318647,0.2936538373642486,"SARIMA(1,1,1)(1,1,1,24)"
7,0.21760564445023192,0.41631222408780305,0.1991924517166522,"SARIMA(1,1,1)(1,1,1,24)"
1,0.14200739183536248,0.23421477270775407,0.19848709551504584,"SARIMA(2,1,1)(0,1,1,24)"
2,0.16602930016470793,0.23881727515919274,0.259583994738253,"SARIMA(2,1,1)(0,1,1,24)"
3,0.10999241024147306,0.1573188792858996,0.1966485991073745,"SARIMA(2,1,1)(0,1,1,24)"
4,0.3441554750957052,0.6102624808334011,0.28122694969281153,"SARIMA(2,1,1)(0,1,1,24)"
5,0.24769925177985688,0.2865096944461432,0.5305735082335985,"SARIMA(2,1,1)(0,1,1,24)"
6,0.17533588910540296,0.2147421748065604,0.2863228997420805,"SARIMA(2,1,1)(0,1,1,24)"
7,0.215807683541369,0.41801765757239767,0.20000844859923336,"SARIMA(2,1,1)(0,1,1,24)"
