MAE,RMSE,nRMSE,model_name,evaluation
0.08563190533265025,0.11085723074818168,0.6158735041565647,"ARIMA(2,1,2)",Whole-train split (statistical)
0.05358704951420154,0.06515718712014137,0.3619843728896742,"SARIMA(1,1,1)(1,1,1,24)",Whole-train split (statistical)
0.05249277825426757,0.06328814623270677,0.35160081240392643,"SARIMA(2,1,1)(0,1,1,24)",Whole-train split (statistical)
0.2148228817515903,0.271483398042789,0.29833341050024903,XGBoost,Whole-train split (ML)
