model_name,MAE,RMSE,nRMSE
ARIMA,0.18063626342954137,0.2933681299904713,0.15857736756241692
Naive,0.18452380952380953,0.3835470418779596,0.20732272533943766
SeasonalNaive,0.24726190476190477,0.42408164083727806,0.22923331937150168
XGBoost,0.21261351145449142,0.2966422188583294,0.1603471453288267
