model_name,MAE,RMSE,nRMSE,evaluation
"ARIMA(2,1,2)",0.21962833255496053,0.2917792768095305,0.24727057356739873,Whole-train split
"SARIMA(1,1,1)(1,1,1,24)",0.13923371823859523,0.2343657586468664,0.19861504970073424,Whole-train split
"SARIMA(2,1,1)(0,1,1,24)",0.13940900511811646,0.23320033447595984,0.19762740209827107,Whole-train split
"ARIMA(2,1,2)",0.24334225885768385,0.33358710171951694,0.2885998756535436,Walk-forward (mean)
"SARIMA(1,1,1)(1,1,1,24)",0.19821077716953947,0.30628607393667456,0.27479503631115776,Walk-forward (mean)
"SARIMA(2,1,1)(0,1,1,24)",0.20014677168055392,0.3085547049730498,0.27897878508977103,Walk-forward (mean)
