day_idx,model_name,MAE,RMSE,nRMSE
1,XGBoost,0.2876113872230053,0.3903341807142144,0.22432998891621517
1,Naive,0.23208333333333334,0.4203619472153333,0.24158732598582375
1,SeasonalNaive,0.3179166666666666,0.5818397545716517,0.33439066354692626
2,XGBoost,0.1944148196776708,0.2839453994536222,0.2535226780835912
2,Naive,0.2175,0.37700574708263185,0.33661227418092127
2,SeasonalNaive,0.31875000000000003,0.48512455445311503,0.43314692361885265
3,XGBoost,0.23647019942601522,0.310490085341848,2.3883852718603693
3,Naive,0.030833333333333334,0.041633319989322654,0.32025630761017426
3,SeasonalNaive,0.2058333333333333,0.3512359131220307,2.701814716323313
4,XGBoost,0.14535779198010762,0.19002805406776507,1.9002805406776502
4,Naive,0.037083333333333336,0.045871196481742954,0.4587119648174294
4,SeasonalNaive,0.02791666666666667,0.0348209706929603,0.3482097069296029
5,XGBoost,0.14018814290563267,0.1687456199576514,1.8749513328627927
5,Naive,0.020000000000000007,0.028136571693556888,0.31262857437285424
5,SeasonalNaive,0.028749999999999998,0.035296364307578945,0.39218182563976595
6,XGBoost,0.21874998534719148,0.2542343120492524,1.8159593717803748
6,Naive,0.03333333333333335,0.04320493798938574,0.30860669992418394
6,SeasonalNaive,0.030833333333333338,0.03872983346207417,0.27664166758624414
7,XGBoost,0.3526598619918028,0.48154744969848134,0.2660483147505422
7,Naive,0.3525,0.5539479518270045,0.3060485921696158
7,SeasonalNaive,0.36166666666666664,0.5731928122368597,0.3166811117330717
