Model,MAE,RMSE,nRMSE,Type,MAE_Improvement_%,nRMSE_Improvement_%
XGBoost (AR only),0.1749972142411407,0.3074801978688235,0.13976372630401068,Baseline,0.0,0.0
XGBoost (with exog),0.17610538288333713,0.30177322253687605,0.13716964660767092,With Exog,-0.6332493045685892,1.8560464613666519
ARIMA (AR only),0.2427265350543381,0.3685844395589322,0.16753838161769646,Baseline,0.0,0.0
ARIMAX (with exog),0.23469788630908597,0.36367865531010707,0.1653084796864123,With Exog,3.3076930560784383,1.330979749089704
