Scenario,Total_cost_EUR,PV_generation_kWh,Grid_import_kWh,Grid_export_kWh,Self_consumption_kWh,Battery_cycles,SOC_max_kWh,SOC_min_kWh
PV_low,0.6366,1.22,11.16,0.0,1.22,1.07,10.0,0.0
PV_high,-0.0459,12.99,0.0,0.95,12.04,0.75,7.65,2.0
