model_name,MAE_mean,MAE_std,MAE_median,RMSE_mean,RMSE_std,RMSE_median,nRMSE_mean,nRMSE_std,nRMSE_median
BestStat,0.20615319224074483,0.1334998514275221,0.1584777220711112,0.2950709907012378,0.2040379033480061,0.24537937054235548,1.064089664268662,0.8292576110025136,0.7628506846369144
Naive,0.11520833237303629,0.12633402808245267,0.035208328564961755,0.18163328649805352,0.2071809181370702,0.04453806177318392,0.34047738774271363,0.053820477378999684,0.31644245005699234
SeasonalNaive,0.162291668082277,0.14100637535687685,0.11833333564301332,0.2530667427717502,0.22618730474571175,0.194982875039742,0.7447793337223673,0.8766523234196043,0.3701957768788843
XGBoost,0.4067733647591539,0.28211703373214897,0.44294026290376987,0.5361368960995715,0.3567148577616352,0.6196943523360661,2.7677388882240943,3.066185217876486,0.9208186604127554
