model_name,MAE_mean,MAE_std,MAE_median,RMSE_mean,RMSE_std,RMSE_median,nRMSE_mean,nRMSE_std,nRMSE_median
BestStat,0.20636015718492365,0.13335119155184605,0.15908518032481272,0.29528011747333704,0.20386360558339178,0.24538122021965028,1.0655604536628887,0.8288526887750574,0.7672383087338561
Naive,0.11520833237303629,0.12633402808245267,0.035208328564961755,0.18163328649805352,0.2071809181370702,0.04453806177318392,0.34047738774271363,0.053820477378999684,0.31644245005699234
SeasonalNaive,0.162291668082277,0.14100637535687685,0.11833333564301332,0.2530667427717502,0.22618730474571175,0.194982875039742,0.7447793337223673,0.8766523234196043,0.3701957768788843
XGBoost,0.4067733647591539,0.28211703373214897,0.44294026290376987,0.5361368960995715,0.3567148577616352,0.6196943523360661,2.7677388882240943,3.066185217876486,0.9208186604127554
