model_name,MAE,RMSE,nRMSE
BestStat,0.2058650781467764,0.35865445025334675,0.1949208968768189
Naive,0.11520833237303628,0.275526012572685,0.1497423981373288
SeasonalNaive,0.162291668082277,0.33941637132765506,0.18446541919981255
XGBoost,0.40677336475915377,0.643962934575575,0.3499798557475951
